apices,coty,leaves,flower,fruit,root
Solyc00g500228,0.0140524942382575,2.56597121515191,0.954984065999363,0.038387776897519,0.0648131235715612,0.0873301742116345
Solyc00g500229,0,0,0.0366076340871903,0,0,0
Solyc00g500230,0,0,0.00474327850255326,0,0,0
Solyc00g500231,0,0,0,0,0,0
Solyc00g500232,0,0,0,0,0,0
Solyc00g500233,0,0,0,0,0,0
Solyc00g500234,0,0,0.194049079553111,0,0,0
Solyc00g500235,0,0,0,0,0,0
Solyc00g500236,0,0,0,0,0,0
Solyc00g500237,0,0,0,0,0,0
Solyc00g230070,0,0,0,0,0,0
Solyc00g230060,0,0,0,0,0,0
Solyc00g025300,0,0,0,0,0,0
Solyc00g025290,0,0,0.0414180214645685,0,0,0
Solyc00g500238,0,0,0.0425178488495876,0,0,0
Solyc00g020040,0.763487992021704,3.94542670685679,0.679322379009064,0.813960235104873,0.834200390597302,0.256001954888369
Solyc00g020030,0.268710247992238,1.68092390999016,0.110276773954824,0.351792462911591,0.333531067427432,1.18639711929609
Solyc00g020020,0.172318578545,1.04389818427926,0.61553171292922,0.51223245203336,0.772725523277624,0.557411651768551
Solyc00g020010,1.67951489260226,2.27535350036781,4.52462691614776,1.57368456389433,1.79926490354658,1.05003642295874
Solyc00g020000,0,1.12605127580548,7.50381895716553,1.67077082295148,0.79266806693858,0.92449529251627
Solyc00g019990,0,0.104622887846984,1.19599897016546,0,0,0
Solyc00g019980,0.309034670377338,1.32211565380768,0.857098184272441,0.084389657901161,0.629406492102654,0.275498624205515
Solyc00g019970,0.793802232153877,12.0509340589482,2.51585677553086,0.629588653539491,1.73419588936127,2.19170143730158
Solyc00g019950,0.233061093891949,0.405310153696173,1.70021669888297,0,0.13919478178862,0.432003298874122
Solyc00g500239,0,0,0,0,0,0
Solyc00g500240,0,0,0.0546222199401614,0,0,0
Solyc00g500241,0,0,0.0100922004765623,0,0,0
Solyc00g036530,0,0,0,0,0,0
Solyc00g500242,0,0,0.0297278045483765,0,0,0
Solyc00g500243,0,0,0.0182020654255821,0,0,0
