coty,In,hypo,leaves
Solang8_01g001560,7.88878452383141,10.9395184784065,10.0663606721991,9.51247827388835
Solang8_01g001570,4.55710330121635,31.8415526667284,53.0131528035522,7.45280471081733
Solang8_01g001580,0,0.458439164876133,0.102863887257574,0
Solang8_01g001590,0,0.262325807202582,1.37681308391166,0.484147090878473
Solang8_01g001600,0.079634804587706,0.402480412161129,4.21680061417471,0.51505144449561
Solang8_01g001610,0.101436004964795,0.122556499182829,2.97345764784434,0.287612686604849
Solang8_01g001620,62.1335298726208,18.8732611750208,31.92730850671,55.0497439916089
Solang8_01g001630,14.6336216455855,50.4103006304367,42.1372230168867,14.604256710727
Solang8_01g001640,0,0,0,0.480245485553163
Solang8_01g001650,14.4171791649266,15.0753689017869,20.7980025757235,13.569973799697
