Spse1-1_S28,Spse1-2_S29,Spse1-3_S30
Solpse1_01g001450,14.4649005537704,16.319686020302,13.753880285259
Solpse1_01g001460,0,0,0
Solpse1_01g001470,0,0,0
Solpse1_01g001480,0,0.172551665560148,0.0327862383866065
Solpse1_01g001490,0.101912928599138,0.246652533105268,0.100427172548967
Solpse1_01g001500,0,0.115508436660232,0.0365792580414754
Solpse1_01g001510,0.102432892520562,0.318742668509942,0.168232593470634
Solpse1_01g001520,1.20117887639497,1.61968496739126,1.89386763685505
Solpse1_01g001530,0.0376272901039388,0.390285534311147,0
Solpse1_01g001540,26.8093030261321,25.2797253539806,23.2778028201744
Solpse1_01g001550,22.3161338922733,28.6849696969884,22.1191138328921
Solpse1_01g001560,1.32250246428681,1.52417029553757,1.76658998905198
Solpse1_01g001570,0,0,0
Solpse1_01g001580,54.4938913016168,54.4106446206757,43.1130370049093
Solpse1_01g001590,43.9741921990572,50.6384265667152,61.9633944500733
Solpse1_01g001600,21.6230415833143,22.3300349144386,19.4174093404553
Solpse1_01g001610,14.7115305974644,18.2870551427698,14.5226238893704
Solpse1_01g001620,9.11316473836346,9.04499397374339,7.081827491507
Solpse1_01g001630,57.3727028034385,56.5853893549655,40.6341963974359
Solpse1_01g001640,4.58578782502547,4.99307967232568,5.14309511712193
Solpse1_01g001650,5.98377831520578,6.25135026539733,5.02534181488279
Solpse1_01g001660,27.4323283933446,25.3896562455927,27.9681382013603
Solpse1_01g001670,0.992499495326353,0.20589215687177,1.56484825926583
Solpse1_01g001680,5.34688184667644,7.43668584249683,4.7899376029408
Solpse1_01g001690,8.89206029331277,11.3377947717388,10.5576544825375
Solpse1_01g001700,0,0,0
Solpse1_01g001710,16.9322805467725,28.0355108813507,25.6461242490789
Solpse1_01g001720,18.3448334903085,21.9908446792147,24.2074392302281
Solpse1_01g001730,0,0,0.152353213360865
Solpse1_01g001740,34.6641410082536,39.9554815751036,31.2388332720707
Solpse1_01g001750,3.51460433330177,3.91730322814273,3.91907209650287
Solpse1_01g001760,0.285211422705655,0.443749306134591,0.281053416428261
Solpse1_01g001770,3.15704718372957,3.27461755429051,3.56471225083722
Solpse1_01g001780,243.269690362889,219.302813827015,245.132868545141
Solpse1_01g001790,25.5895122934614,22.9526037263822,21.8327738371739
Solpse1_01g001800,12.0980464798728,12.7436408674317,9.78030162041143
Solpse1_01g001810,1.92357037892394,1.82488291268419,1.96487581878271
Solpse1_01g001820,4.80627547814663,4.54353185657808,4.43644642854195
Solpse1_01g001830,16.6710634344652,14.1560665250791,13.3921002839689
Solpse1_01g001840,59.1694221653371,85.7995280023478,76.5224896513056
Solpse1_01g001850,34.0943609794738,40.1838796408143,35.780336668611
Solpse1_01g001860,0,0,0
Solpse1_01g001870,1.70970715983226,0.354675540304655,0.252717282746398
Solpse1_01g001880,33.3919414981218,37.4377009763793,40.4658569466435
Solpse1_01g001890,4.15614193626001,4.43839262469009,3.11570133376598
Solpse1_01g001900,174.264844877409,185.290448311597,204.636320700176
Solpse1_01g001910,34.2788478664359,43.9311813073246,48.4817143338751
Solpse1_01g001920,0.0997784370168346,0,0
Solpse1_01g001930,41.3548727444554,59.5071070437155,40.4137826078891
Solpse1_01g001940,2.36695458590672,3.22232061933629,1.55496500710204
Solpse1_01g001950,13.1335508551285,15.6923069949414,16.0528759921443
Solpse1_01g001960,8.40651381511733,9.32901037658062,7.66043421853817
Solpse1_01g001970,0.24962331889558,0.0863064813885218,0.409973567036785
Solpse1_01g001980,68.1994633133891,139.234364365502,117.910373656006
Solpse1_01g001990,0.474790299115579,0,0
Solpse1_01g002000,20.2143595842633,24.1621497190285,28.9625545629323
Solpse1_01g002010,8.95779997764804,8.25901683089027,7.32331253344801
Solpse1_01g002020,111.267270318529,127.307238436953,155.075922890396
Solpse1_01g002030,6.08944274167849,7.5351364503493,7.00077781668128
Solpse1_01g002040,0.363147102165921,1.6008514212588,0.894632241246937
Solpse1_01g002050,0.470813830948782,0.325564817566082,0.927899972830994
Solpse1_01g002060,1.24301097656793,1.69220817488639,2.22011224842772
